Winner,Loser,Win Difference,Best of,Date,Type
TL,NM,1,3,2017-03-03 05:20,Clash
DIG,T8,1,3,2017-03-03 06:50,Clash
TS,INF,2,3,2017-03-03 08:20,Clash
FNC,GFE,2,3,2017-03-03 09:50,Clash
T8,NM,1,3,2017-03-03 11:30,Clash
GFE,INF,2,3,2017-03-03 01:00,Clash
TL,DIG,3,5,2017-03-04 05:20,Clash
FNC,TS,3,5,2017-03-04 07:40,Clash
DIG,GFE,3,5,2017-03-04 10:00,Clash
T8,TS,1,5,2017-03-04 12:20,Clash
FNC,TL,2,5,2017-03-05 05:00,Clash
DIG,T8,3,5,2017-03-05 07:20,Clash
DIG,FNC,1,5,2017-03-05 11:40,Clash
DIG,TL,1,5,2017-03-05 13:50,Clash
